,Viet Nam,China,Thailand,Indonesia,Malaysia,Philippines,Japan,"Korea, Rep."
1985 [YR1985],3.805855668109473,13.43547436652895,4.647240356593315,2.4621435642255136,-1.0252502534207082,-6.858377208646829,5.159807904502742,7.838864021740875
1986 [YR1986],2.789291574794433,8.935064935065043,5.533827767247715,5.875045103598637,1.2405949275068764,3.51068403005506,3.2940476134942145,11.327261196306623
1987 [YR1987],3.583469631307196,11.628222565569885,9.518946022107897,4.925927364966114,5.191932112727017,4.361809672776971,4.648861397435212,12.723692119326884
1988 [YR1988],5.135011671578084,11.222594982520917,13.288114071764383,5.780498488117701,9.93771967651989,6.696931104681852,6.661636522103322,11.987715559382423
1989 [YR1989],7.364512893958192,4.206334355478276,12.19050598661093,7.456586925168466,9.059600866504297,6.18391820283388,4.925785413177877,7.072893605314164
1990 [YR1990],5.100918139083689,3.9416305983694,11.167163444629253,7.2421316385646435,9.008527137746285,3.0826725285588736,4.840929056993531,9.8775525016936
1991 [YR1991],5.960843932189121,9.361702127848474,8.558260321242301,6.9119828359130935,9.545467414430519,-0.4363900805334282,3.52335723553459,10.778056126896658
1992 [YR1992],8.646047459345723,14.299610894792607,8.083388023453324,6.497506516827144,8.88511797832156,0.4176290660979447,0.9005860664381089,6.1986427983637356
1993 [YR1993],8.07273065739605,13.92907801436887,8.251915915246272,6.49640812045304,9.894943333770641,2.1818899856129974,-0.45921971625054425,6.877474128685577
1994 [YR1994],8.838980952453738,13.072709163159942,7.997024667204329,7.539971095514389,9.212041793348675,4.373665918190767,1.0833831743207014,9.268666337783756
1995 [YR1995],9.540480174912645,11.032812156274645,8.120315346253776,8.220007399034927,9.829085197308117,4.62522511739661,2.6309996164205955,9.614565393199655
1996 [YR1996],9.340017499391791,9.97619992053447,5.651944464994713,7.818187076708668,10.002700686184411,5.860347871637899,3.1338709927275943,7.890703326006673
1997 [YR1997],8.152084143354202,9.287646528086498,-2.7535751531408152,4.699878853903968,7.322741850359236,5.186411674061645,0.981228732290873,6.170552426589765
1998 [YR1998],5.7644554584884276,7.920792079335513,-7.634035286001023,-13.126725492381823,-7.359415188175561,-0.5140905995418876,-1.270330494660783,-5.129448165209638
1999 [YR1999],4.7735868834498945,7.7370030581299005,4.572307751155421,0.7911260819984705,6.137612010576916,3.3464511839826656,-0.3339299576877721,11.466942426742492
2000 [YR2000],6.787316404631511,8.586432018084622,4.455247043350141,4.920067747016901,8.858868169693864,4.382505000833987,2.7646475513678297,9.06083332508534
2001 [YR2001],6.192893312333766,8.312638870915222,3.444249009683716,3.6434664472149194,0.5176753191928611,3.049231344634862,0.38610342614202864,4.852399571512805
2002 [YR2002],6.320820991608329,9.243393266383208,6.149036052100357,4.49947539085764,5.390988306927966,3.716255001583832,0.041962499286228194,7.72514267547173
2003 [YR2003],6.899063490552578,10.118192864011746,7.189243303409711,4.780369121676543,5.788499285887497,5.086911135130734,1.5351254994669432,3.147291193734091
2004 [YR2004],7.536410608903864,10.131407363100251,6.289342142857947,5.03087394501685,6.783437723703045,6.5692285118062586,2.1861156943931803,5.197391363243824
2005 [YR2005],7.547247728959178,11.458238455067018,4.187638428843371,5.692571303833844,5.332139161414858,4.942505118776779,1.8039008721582093,4.308542714112363
2006 [YR2006],6.9779548105671125,12.674675165523524,4.967810892461074,5.500951785203483,5.5848470671515,5.316416821369387,1.372350127583104,5.264326594667239
2007 [YR2007],7.129504486054387,14.149985494712737,5.435151690508093,6.3450222266721426,6.298785927409469,6.519291550189379,1.4839694115747193,5.799548415032163
2008 [YR2008],5.6617712089136205,9.67024588602851,1.7256988486633418,6.013703600091233,4.8317698891309675,4.344487305091832,-1.2242890006171336,3.0129848728116713
2009 [YR2009],5.3978975401418126,9.402699727780444,-0.6906182323005794,4.628871182561525,-1.5135287159871353,1.4483230627566854,-5.6932363589274075,0.7926989895181862
2010 [YR2010],6.423244822394821,10.596271976168154,7.513390532616242,6.223854180623661,7.424847383260968,7.334499960345383,4.097917919431808,6.8048249178367115
2011 [YR2011],6.413168896816828,9.461335887073602,0.8401320830533336,6.16978420771008,5.2939128341400306,3.858232827956627,0.023809523799542376,3.6856677821252646
2012 [YR2012],5.504544704118899,7.856174270555869,7.242796202496422,6.030050653056151,5.473454192538526,6.896951710509853,1.3747509990527362,2.4025309924618625
2013 [YR2013],5.553510810260718,7.778724094467165,2.687495563205559,5.557263688910098,4.693722525578934,6.750531301422555,2.005100176812107,3.1647086364718433
2014 [YR2014],6.422243121185673,7.461900282294337,0.9844688636194263,5.006668425754995,6.006721945582029,6.347987482608673,0.29620551414188867,3.2024537945736
2015 [YR2015],6.98715430598611,6.978780026574768,3.1340472491163496,4.876322300221233,5.091532421550113,6.348309716727613,1.560626696807816,2.80910326824133
2016 [YR2016],6.690008926604236,6.775555628370171,3.4351577169218217,5.033069182801768,4.449781397615411,7.149456750007516,0.7538267457891266,2.9468817150862634
2017 [YR2017],6.94019037359206,6.891266362121101,4.177681032100097,5.069785901349164,5.812722409833285,6.930988325840204,1.6753317517335944,3.1596357401277686
2018 [YR2018],7.465006855727509,6.756718001668332,4.222870287460708,5.174291539550239,4.843086976348815,6.341485571534733,0.643391023533141,2.9074037737713496
2019 [YR2019],7.359262701050056,6.068502350537045,2.1145577962827815,5.019287680462824,4.413187421295859,6.118525662213031,-0.4021692008949458,2.243977860110121
2020 [YR2020],2.865413209122721,2.3401884307841385,-6.05003846851622,-2.065511829341645,-5.456846584267012,-9.518294740452973,-4.168764571467435,-0.7094153593976813
2021 [YR2021],2.553728526481308,8.57008513166322,1.5521660842664744,3.7028856282775138,3.3153495439916583,5.714733131851162,2.6965740418718838,4.304734819069694
2022 [YR2022],8.537500467557877,3.1341888719577042,2.5803787470982655,5.307197226647986,8.861821875780464,7.580982127855634,0.9419987754832846,2.6126721918722637
2023 [YR2023],5.06502391455075,5.4148433009967505,2.0177509532832687,5.049023318359971,3.5554871541050943,5.51894967862863,1.4750348105338418,1.3567332431109804
2024 [YR2024],7.091187466339747,4.9773565917572,2.5259617577149527,5.030344694190376,5.114155478290911,5.6920161282341155,0.08369856438521595,
