Country Name,Country Code,Series Name,Series Code,Year,Value
Viet Nam,VNM,Control of Corruption: Percentile Rank,CC.PER.RNK,2015,40
Viet Nam,VNM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,2015,875.5525312
Viet Nam,VNM,Rule of Law: Percentile Rank,RL.PER.RNK,2015,43.33333206
Viet Nam,VNM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2015,27.8
Viet Nam,VNM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,2015,19.37701405
Viet Nam,VNM,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,2015,35.39641904
Viet Nam,VNM,Forest area (% of land area),AG.LND.FRST.ZS,2015,44.87116404
Viet Nam,VNM,Gini index,SI.POV.GINI,2015,
Viet Nam,VNM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,2015,81.765
Viet Nam,VNM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,73.955
Viet Nam,VNM,Regulatory Quality: Estimate,RQ.EST,2015,-0.505210996
Viet Nam,VNM,Voice and Accountability: Estimate,VA.EST,2015,-1.35883224
Viet Nam,VNM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2015,679.445924
Viet Nam,VNM,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2015,0.733762785
Viet Nam,VNM,Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CH4.ZG.AR5,2015,54.65378233
Viet Nam,VNM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2015,89.45483413
Viet Nam,VNM,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,2015,
Viet Nam,VNM,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,2015,
Viet Nam,VNM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Viet Nam,VNM,Government Effectiveness: Estimate,GE.EST,2015,0.063162155
Viet Nam,VNM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2015,0.063808225
Indonesia,IDN,Control of Corruption: Percentile Rank,CC.PER.RNK,2015,36.66666794
Indonesia,IDN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,2015,216.7345168
Indonesia,IDN,Rule of Law: Percentile Rank,RL.PER.RNK,2015,39.52381134
Indonesia,IDN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2015,26.6
Indonesia,IDN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,2015,18.67127865
Indonesia,IDN,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,2015,13.65935046
Indonesia,IDN,Forest area (% of land area),AG.LND.FRST.ZS,2015,50.61354905
Indonesia,IDN,Gini index,SI.POV.GINI,2015,38.2
